method,problem,popsize,samples,trial,time
ep-lex-sd,uball5d,100,5000,2,115.50544834136963
ep-lex-d,uball5d,100,50,2,60.39419674873352
ep-lex-d,uball5d,100,100,2,67.9006757736206
ep-lex-d,uball5d,100,500,2,70.15049648284912
ep-lex-d,uball5d,100,1000,2,57.82807540893555
ep-lex-d,uball5d,100,5000,2,135.74296283721924
rand,uball5d,100,50,3,51.93090295791626
rand,uball5d,100,100,3,59.329145669937134
rand,uball5d,100,500,3,54.8757541179657
rand,uball5d,100,1000,3,51.49123525619507
rand,uball5d,100,5000,3,103.47904968261719
tourn,uball5d,100,50,3,29.239165544509888
tourn,uball5d,100,100,3,52.1938042640686
tourn,uball5d,100,500,3,48.86327838897705
tourn,uball5d,100,1000,3,52.771798849105835
tourn,uball5d,100,5000,3,98.41834473609924
lex,uball5d,100,50,3,62.96866750717163
lex,uball5d,100,100,3,66.9781539440155
lex,uball5d,100,500,3,65.27226901054382
lex,uball5d,100,1000,3,67.72502851486206
lex,uball5d,100,5000,3,118.10314679145813
dc,uball5d,100,50,3,77.96199560165405
dc,uball5d,100,100,3,95.33189272880554
dc,uball5d,100,500,3,98.40975379943848
dc,uball5d,100,1000,3,94.89800310134888
dc,uball5d,100,5000,3,145.6116099357605
afp,uball5d,100,50,3,98.3407289981842
afp,uball5d,100,100,3,97.09545612335205
afp,uball5d,100,500,3,95.21420192718506
afp,uball5d,100,1000,3,99.93599653244019
afp,uball5d,100,5000,3,143.40489268302917
ep-lex-s,uball5d,100,50,3,55.78144812583923
ep-lex-s,uball5d,100,100,3,56.35105586051941
ep-lex-s,uball5d,100,500,3,58.59258437156677
ep-lex-s,uball5d,100,1000,3,65.6442883014679
ep-lex-s,uball5d,100,5000,3,121.05957627296448
ep-lex-sd,uball5d,100,50,3,60.95869469642639
ep-lex-sd,uball5d,100,100,3,58.433298110961914
ep-lex-sd,uball5d,100,500,3,59.01076793670654
ep-lex-sd,uball5d,100,1000,3,62.210400104522705
ep-lex-sd,uball5d,100,5000,3,123.03046607971191
ep-lex-d,uball5d,100,50,3,62.09846258163452
ep-lex-d,uball5d,100,100,3,63.21838331222534
ep-lex-d,uball5d,100,500,3,65.00760531425476
ep-lex-d,uball5d,100,1000,3,71.36204648017883
ep-lex-d,uball5d,100,5000,3,97.70032501220703
rand,uball5d,100,50,4,48.25328779220581
rand,uball5d,100,100,4,48.82148623466492
rand,uball5d,100,500,4,39.99187445640564
rand,uball5d,100,1000,4,55.71351599693298
rand,uball5d,100,5000,4,68.61958765983582
tourn,uball5d,100,50,4,39.179545402526855
tourn,uball5d,100,100,4,39.72743105888367
tourn,uball5d,100,500,4,51.17455577850342
tourn,uball5d,100,1000,4,54.22075366973877
tourn,uball5d,100,5000,4,92.25700402259827
lex,uball5d,100,50,4,61.05811929702759
lex,uball5d,100,100,4,68.02042126655579
lex,uball5d,100,500,4,66.80089235305786
lex,uball5d,100,1000,4,60.518470764160156
lex,uball5d,100,5000,4,116.15874767303467
dc,uball5d,100,50,4,90.09713768959045
dc,uball5d,100,100,4,91.29712867736816
dc,uball5d,100,500,4,89.49443578720093
dc,uball5d,100,1000,4,98.37975859642029
dc,uball5d,100,5000,4,137.93414855003357
afp,uball5d,100,50,4,97.01281762123108
afp,uball5d,100,100,4,96.89940047264099
afp,uball5d,100,500,4,90.99886727333069
afp,uball5d,100,1000,4,101.28024339675903
afp,uball5d,100,5000,4,117.94397687911987
ep-lex-s,uball5d,100,50,4,58.270588397979736
ep-lex-s,uball5d,100,100,4,63.676459550857544
ep-lex-s,uball5d,100,500,4,54.25293326377869
ep-lex-s,uball5d,100,1000,4,64.96779918670654
